subject	grade	domain	domainAbbrev	cluster	standardName	stateStandard
English	K	Language	L	Conventions of Standard English	L.K.1	Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
English	K	Language	L	Conventions of Standard English	L.K.1.A	Print many upper- and lowercase letters.
English	K	Language	L	Conventions of Standard English	L.K.1.B	Use frequently occurring nouns and verbs.
English	K	Language	L	Conventions of Standard English	L.K.1.C	"Form regular plural nouns orally by adding /s/ or /es/ (e.g., dog, dogs; wish, wishes)."
English	K	Language	L	Conventions of Standard English	L.K.1.D	"Understand and use question words (interrogatives) (e.g., who, what, where, when, why, how)."
English	K	Language	L	Conventions of Standard English	L.K.1.E	"Use the most frequently occurring prepositions (e.g., to, from, in, out, on, off, for, of, by, with)."
English	K	Language	L	Conventions of Standard English	L.K.1.F	Produce and expand complete sentences in shared language activities.
English	K	Language	L	Conventions of Standard English	L.K.2	"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
English	K	Language	L	Conventions of Standard English	L.K.2.A	Capitalize the first word in a sentence and the pronoun I.
English	K	Language	L	Conventions of Standard English	L.K.2.B	Recognize and name end punctuation.
English	K	Language	L	Conventions of Standard English	L.K.2.C	Write a letter or letters for most consonant and short-vowel sounds (phonemes).
English	K	Language	L	Conventions of Standard English	L.K.2.D	"Spell simple words phonetically, drawing on knowledge of sound-letter relationships."
English	K	Language	L	Vocabulary Acquisition and Use	L.K.4	Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on kindergarten reading and content.
English	K	Language	L	Vocabulary Acquisition and Use	L.K.4.A	"Identify new meanings for familiar words and apply them accurately (e.g., knowing duck is a bird and learning the verb to duck)."
English	K	Language	L	Vocabulary Acquisition and Use	L.K.4.B	"Use the most frequently occurring inflections and affixes (e.g., -ed, -s, re-, un-, pre-, -ful, -less) as a clue to the meaning of an unknown word."
English	K	Language	L	Vocabulary Acquisition and Use	L.K.5	"With guidance and support from adults, explore word relationships and nuances in word meanings."
English	K	Language	L	Vocabulary Acquisition and Use	L.K.5.A	"Sort common objects into categories (e.g., shapes, foods) to gain a sense of the concepts the categories represent."
English	K	Language	L	Vocabulary Acquisition and Use	L.K.5.B	Demonstrate understanding of frequently occurring verbs and adjectives by relating them to their opposites (antonyms).
English	K	Language	L	Vocabulary Acquisition and Use	L.K.5.C	"Identify real-life connections between words and their use (e.g., note places at school that are colorful)."
English	K	Language	L	Vocabulary Acquisition and Use	L.K.5.D	"Distinguish shades of meaning among verbs describing the same general action (e.g., walk, march, strut, prance) by acting out the meanings."
English	K	Language	L	Vocabulary Acquisition and Use	L.K.6	"Use words and phrases acquired through conversations, reading and being read to, and responding to texts."
English	K	Reading: Foundational Skills	RF	Print Concepts	RF.K.1	Demonstrate understanding of the organization and basic features of print.
English	K	Reading: Foundational Skills	RF	Print Concepts	RF.K.1.A	"Follow words from left to right, top to bottom, and page by page."
English	K	Reading: Foundational Skills	RF	Print Concepts	RF.K.1.B	Recognize that spoken words are represented in written language by specific sequences of letters.
English	K	Reading: Foundational Skills	RF	Print Concepts	RF.K.1.C	Understand that words are separated by spaces in print.
English	K	Reading: Foundational Skills	RF	Print Concepts	RF.K.1.D	Recognize and name all upper- and lowercase letters of the alphabet.
English	K	Reading: Foundational Skills	RF	Phonological awareness	RF.K.2	"Demonstrate understanding of spoken words, syllables, and sounds (phonemes)."
English	K	Reading: Foundational Skills	RF	Phonological awareness	RF.K.2.A	Recognize and produce rhyming words.
English	K	Reading: Foundational Skills	RF	Phonological awareness	RF.K.2.B	"Count, pronounce, blend, and segment syllables in spoken words."
English	K	Reading: Foundational Skills	RF	Phonological awareness	RF.K.2.C	Blend and segment onsets and rimes of single-syllable spoken words.
English	K	Reading: Foundational Skills	RF	Phonological awareness	RF.K.2.D	"Isolate and pronounce the initial, medial vowel, and final sounds (phonemes) in three-phoneme (consonent-vowel-consonent, or CVC) words. (This does not include CVCs ending with /l/, /r/, or /x/.)"
English	K	Reading: Foundational Skills	RF	Phonological awareness	RF.K.2.E	"Add or substitute individual sounds (phonemes) in simple, one-syllable words to make new words."
English	K	Reading: Foundational Skills	RF	Phonics and Word recognition	RF.K.3	Know and apply grade-level phonics and word analysis skills in decoding words.
English	K	Reading: Foundational Skills	RF	Phonics and Word recognition	RF.K.3.A	Demonstrate basic knowledge of one-to-one letter-sound correspondences by producing the primary or many of the most frequent sound for each consonant.
English	K	Reading: Foundational Skills	RF	Phonics and Word recognition	RF.K.3.B	Associate the long and short sounds with common spellings (graphemes) for the five major vowels.
English	K	Reading: Foundational Skills	RF	Phonics and Word recognition	RF.K.3.C	"Read common high-frequency words by sight (e.g., the, of, to, you, she, my, is, are, do, does)."
English	K	Reading: Foundational Skills	RF	Phonics and Word recognition	RF.K.3.D	Distinguish between similarly spelled words by identifying the sounds of the letters that differ.
English	K	Reading: Foundational Skills	RF	Fluency	RF.K.4	Read emergent-reader texts with purpose and understanding.
English	K	Reading: Informational Text	RI	Key Ideas and Details	RI.K.1	"With prompting and support, ask and answer questions about key details in a text."
English	K	Reading: Informational Text	RI	Key Ideas and Details	RI.K.2	"With prompting and support, identify the main topic and retell key details of a text."
English	K	Reading: Informational Text	RI	Key Ideas and Details	RI.K.3	"With prompting and support, describe the connection between two individuals, events, ideas, or pieces of information in a text."
English	K	Reading: Informational Text	RI	Craft and Structure	RI.K.4	"With prompting and support, ask and answer questions about unknown words in a text."
English	K	Reading: Informational Text	RI	Craft and Structure	RI.K.5	"Identify the front cover, back cover, and title page of a book."
English	K	Reading: Informational Text	RI	Craft and Structure	RI.K.6	Name the author and illustrator of a text and define the role of each in presenting the ideas or information in a text.
English	K	Reading: Informational Text	RI	Integration of Knowledge and Ideas	RI.K.7	"With prompting and support, describe the relationship between illustrations and the text in which they appear (e.g., what person, place, thing, or idea in the text an illustration depicts)."
English	K	Reading: Informational Text	RI	Integration of Knowledge and Ideas	RI.K.8	"With prompting and support, identify the reasons an author gives to support points in a text."
English	K	Reading: Informational Text	RI	Integration of Knowledge and Ideas	RI.K.9	"With prompting and support, identify basic similarities in and differences between two texts on the same topic (e.g., in illustrations, descriptions, or procedures)."
English	K	Reading: Informational Text	RI	Range of Reading and Level of Text Complexity	RI.K.10	Actively engage in group reading activities with purpose and understanding.
English	K	Reading: Literature	RL	Key Ideas and Details	RL.K.1	"With prompting and support, ask and answer questions about key details in a text."
English	K	Reading: Literature	RL	Key Ideas and Details	RL.K.2	"With prompting and support, retell familiar stories, including key details."
English	K	Reading: Literature	RL	Key Ideas and Details	RL.K.3	"With prompting and support, identify characters, settings, and major events in a story."
English	K	Reading: Literature	RL	Craft and Structure	RL.K.4	Ask and answer questions about unknown words in a text.
English	K	Reading: Literature	RL	Craft and Structure	RL.K.5	"Recognize common types of texts (e.g., storybooks, poems)."
English	K	Reading: Literature	RL	Craft and Structure	RL.K.6	"With prompting and support, name the author and illustrator of a story and define the role of each in telling the story."
English	K	Reading: Literature	RL	Integration of Knowledge and Ideas	RL.K.7	"With prompting and support, describe the relationship between illustrations and the story in which they appear (e.g., what moment in a story an illustration depicts)."
English	K	Reading: Literature	RL	Integration of Knowledge and Ideas	RL.K.9	"With prompting and support, compare and contrast the adventures and experiences of characters in familiar stories."
English	K	Reading: Literature	RL	Range of Reading and Level of Text Complexity	RL.K.10	Actively engage in group reading activities with purpose and understanding.
English	K	Speaking &amp; Listening	SL	Comprehension and Collaboration	SL.K.1	Participate in collaborative conversations with diverse partners about kindergarten topics and texts with peers and adults in small and larger groups.
English	K	Speaking &amp; Listening	SL	Comprehension and Collaboration	SL.K.1.A	"Follow agreed-upon rules for discussions (e.g., listening to others and taking turns speaking about the topics and texts under discussion)."
English	K	Speaking &amp; Listening	SL	Comprehension and Collaboration	SL.K.1.B	Continue a conversation through multiple exchanges.
English	K	Speaking &amp; Listening	SL	Comprehension and Collaboration	SL.K.2	Confirm understanding of a text read aloud or information presented orally or through other media by asking and answering questions about key details and requesting clarification if something is not understood.
English	K	Speaking &amp; Listening	SL	Comprehension and Collaboration	SL.K.3	"Ask and answer questions in order to seek help, get information, or clarify something that is not understood."
English	K	Speaking &amp; Listening	SL	Presentation of Knowledge and Ideas	SL.K.4	"Describe familiar people, places, things, and events and, with prompting and support, provide additional detail."
English	K	Speaking &amp; Listening	SL	Presentation of Knowledge and Ideas	SL.K.5	Add drawings or other visual displays to descriptions as desired to provide additional detail.
English	K	Speaking &amp; Listening	SL	Presentation of Knowledge and Ideas	SL.K.6	"Speak audibly and express thoughts, feelings, and ideas clearly."
English	K	Writing	W	Text Types and Purposes	W.K.1	"Use a combination of drawing, dictating, and writing to compose opinion pieces in which they tell a reader the topic or the name of the book they are writing about and state an opinion or preference about the topic or book (e.g., My favorite book is...)."
English	K	Writing	W	Text Types and Purposes	W.K.2	"Use a combination of drawing, dictating, and writing to compose informative/explanatory texts in which they name what they are writing about and supply some information about the topic."
