Subject	Grade	Domain Name	Domain Abbreviation	Domain Name Full	New Cluster Name	Cluster Abbreviation	Cluster Name Full	Cluster (old)	Standard Abbreviation	State Standard	Notes
Math	K	Counting &amp; Cardinality	CC	(CC) Counting &amp; Cardinality	Number names and counting	K.CC.A	(K.CC.A) Number names and counting	Know Number Names And The Count Sequence.	K.CC.A.1	Count to 100 by ones and by tens.	
Math	K	Counting &amp; Cardinality	CC	(CC) Counting &amp; Cardinality	Number names and counting	K.CC.A	(K.CC.A) Number names and counting	Know Number Names And The Count Sequence.	K.CC.A.2	Count forward beginning from a given number within the known sequence (instead of having to begin at 1).	
Math	K	Counting &amp; Cardinality	CC	(CC) Counting &amp; Cardinality	Number names and counting	K.CC.A	(K.CC.A) Number names and counting	Know Number Names And The Count Sequence.	K.CC.A.3	Write numbers from 0 to 20. Represent a number of objects with a written numeral 0-20 (with 0 representing a count of no objects).	
Math	K	Counting &amp; Cardinality	CC	(CC) Counting &amp; Cardinality	Counting objects	K.CC.B	(K.CC.B) Counting objects	Count To Tell The Number Of Objects.	K.CC.B.4	Understand the relationship between numbers and quantities; connect counting to cardinality.	
Math	K	Counting &amp; Cardinality	CC	(CC) Counting &amp; Cardinality	Counting objects	K.CC.B	(K.CC.B) Counting objects	Count To Tell The Number Of Objects.	K.CC.B.4.a	"When counting objects, say the number names in the standard order, pairing each object with one and only one number name and each number name with one and only one object."	
Math	K	Counting &amp; Cardinality	CC	(CC) Counting &amp; Cardinality	Counting objects	K.CC.B	(K.CC.B) Counting objects	Count To Tell The Number Of Objects.	K.CC.B.4.b	Understand that the last number name said tells the number of objects counted. The number of objects is the same regardless of their arrangement or the order in which they were counted.	
Math	K	Counting &amp; Cardinality	CC	(CC) Counting &amp; Cardinality	Counting objects	K.CC.B	(K.CC.B) Counting objects	Count To Tell The Number Of Objects.	K.CC.B.4.c	Understand that each successive number name refers to a quantity that is one larger.	
Math	K	Counting &amp; Cardinality	CC	(CC) Counting &amp; Cardinality	Counting objects	K.CC.B	(K.CC.B) Counting objects	Count To Tell The Number Of Objects.	K.CC.B.5	"Count to answer ‰ÛÏhow many?‰Û questions about as many as 20 things arranged in a line, a rectangular array, or a circle, or as many as 10 things in a scattered configuration; given a number from 1‰ÛÒ20, count out that many objects."	
Math	K	Counting &amp; Cardinality	CC	(CC) Counting &amp; Cardinality	Comparing numbers	K.CC.C	(K.CC.C) Comparing numbers	Compare Numbers.	K.CC.C.6	"Identify whether the number of objects in one group is greater than, less than, or equal to the number of objects in another group, e.g., by using matching and counting strategies.1"	
Math	K	Counting &amp; Cardinality	CC	(CC) Counting &amp; Cardinality	Comparing numbers	K.CC.C	(K.CC.C) Comparing numbers	Compare Numbers.	K.CC.C.7	Compare two numbers between 1 and 10 presented as written numerals.	
Math	K	Geometry	G	(G) Geometry	Identifying shapes	K.G.A	(K.G.A) Identifying shapes	"Identify And Describe Shapes (Squares, Circles, Triangles, Rectangles, Hexagons, Cubes, Cones, Cylinders, And Spheres)."	K.G.A.1	"Describe objects in the environment using names of shapes, and describe the relative positions of these objects using terms such as above, below, beside, in front of, behind, and next to."	
Math	K	Geometry	G	(G) Geometry	Identifying shapes	K.G.A	(K.G.A) Identifying shapes	"Identify And Describe Shapes (Squares, Circles, Triangles, Rectangles, Hexagons, Cubes, Cones, Cylinders, And Spheres)."	K.G.A.2	Correctly name shapes regardless of their orientations or overall size.	
Math	K	Geometry	G	(G) Geometry	Identifying shapes	K.G.A	(K.G.A) Identifying shapes	"Identify And Describe Shapes (Squares, Circles, Triangles, Rectangles, Hexagons, Cubes, Cones, Cylinders, And Spheres)."	K.G.A.3	"Identify shapes as two-dimensional (lying in a plane, ‰ÛÏflat‰Û) or three- dimensional (‰ÛÏsolid‰Û)."	
Math	K	Geometry	G	(G) Geometry	Analyzing shapes	K.G.B	(K.G.B) Analyzing shapes	"Analyze, Compare, Create, And Compose Shapes."	K.G.B.4	"Analyze and compare two- and three-dimensional shapes, in different sizes and orientations, using informal language to describe their similarities, differences, parts (e.g., number of sides and vertices/‰ÛÏcorners‰Û) and other attributes (e.g., having sides of equal length)."	
Math	K	Geometry	G	(G) Geometry	Analyzing shapes	K.G.B	(K.G.B) Analyzing shapes	"Analyze, Compare, Create, And Compose Shapes."	K.G.B.5	"Model shapes in the world by building shapes from components (e.g., sticks and clay balls) and drawing shapes."	
Math	K	Geometry	G	(G) Geometry	Analyzing shapes	K.G.B	(K.G.B) Analyzing shapes	"Analyze, Compare, Create, And Compose Shapes."	K.G.B.6	"Compose simple shapes to form larger shapes. For example, ‰ÛÏCan you join these two triangles with full sides touching to make a rectangle?‰Û"	
Math	K	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Measurement	K.MD.A	(K.MD.A) Measurement	Describe And Compare Measurable Attributes.	K.MD.A.1	"Describe measurable attributes of objects, such as length or weight. Describe several measurable attributes of a single object."	
Math	K	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Measurement	K.MD.A	(K.MD.A) Measurement	Describe And Compare Measurable Attributes.	K.MD.A.2	"Directly compare two objects with a measurable attribute in common, to see which object has ‰ÛÏmore of‰Û/‰ÛÏless of‰Û the attribute, and describe the difference. For example, directly compare the heights of two children and describe one child as taller/shorter."	
Math	K	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Classifying and counting objects	K.MD.B	(K.MD.B) Classifying and counting objects	Classify Objects And Count The Number Of Objects In Each Category.	K.MD.B.3	Classify objects into given categories; count the numbers of objects in each category and sort the categories by count.3	
Math	K	Number &amp; Operations in Base Ten	NBT	(NBT) Number &amp; Operations in Base Ten	Place value up to 19	K.NBT.A	(K.NBT.A) Place value up to 19	Work With Numbers 11‰ÛÒ19 To Gain Foundations For Place Value.	K.NBT.A.1	"Compose and decompose numbers from 11 to 19 into ten ones and some further ones, e.g., by using objects or drawings, and record each composition or decomposition by a drawing or equation (e.g., 18 = 10 + 8); understand that these numbers are composed of ten ones and one, two, three, four, five, six, seven, eight, or nine ones."	
Math	K	Operations &amp; Algebraic Thinking	OA	(OA) Operations &amp; Algebraic Thinking	Addition and subtraction	K.OA.A	(K.OA.A) Addition and subtraction	"Understand Addition As Putting Together And Adding To, And Under- Stand Subtraction As Taking Apart And Taking From."	K.OA.A.1	"Represent addition and subtraction with objects, fingers, mental images, drawings2, sounds (e.g., claps), acting out situations, verbal explanations, expressions, or equations."	
Math	K	Operations &amp; Algebraic Thinking	OA	(OA) Operations &amp; Algebraic Thinking	Addition and subtraction	K.OA.A	(K.OA.A) Addition and subtraction	"Understand Addition As Putting Together And Adding To, And Under- Stand Subtraction As Taking Apart And Taking From."	K.OA.A.2	"Solve addition and subtraction word problems, and add and subtract within 10, e.g., by using objects or drawings to represent the problem."	
Math	K	Operations &amp; Algebraic Thinking	OA	(OA) Operations &amp; Algebraic Thinking	Addition and subtraction	K.OA.A	(K.OA.A) Addition and subtraction	"Understand Addition As Putting Together And Adding To, And Under- Stand Subtraction As Taking Apart And Taking From."	K.OA.A.3	"Decompose numbers less than or equal to 10 into pairs in more than one way, e.g., by using objects or drawings, and record each decomposition by a drawing or equation (e.g., 5 = 2 + 3 and 5 = 4 + 1)."	
Math	K	Operations &amp; Algebraic Thinking	OA	(OA) Operations &amp; Algebraic Thinking	Addition and subtraction	K.OA.A	(K.OA.A) Addition and subtraction	"Understand Addition As Putting Together And Adding To, And Under- Stand Subtraction As Taking Apart And Taking From."	K.OA.A.4	"For any number from 1 to 9, find the number that makes 10 when added to the given number, e.g., by using objects or drawings, and record the answer with a drawing or equation."	
Math	K	Operations &amp; Algebraic Thinking	OA	(OA) Operations &amp; Algebraic Thinking	Addition and subtraction	K.OA.A	(K.OA.A) Addition and subtraction	"Understand Addition As Putting Together And Adding To, And Under- Stand Subtraction As Taking Apart And Taking From."	K.OA.A.5	Fluently add and subtract within 5.	
Math	1	Geometry	G	(G) Geometry	Reasoning with shapes	1.G.A	(1.G.A) Reasoning with shapes	Reason With Shapes And Their Attributes.	1.G.A.1	"Distinguish between defining attributes (e.g., triangles are closed and three-sided) versus non-defining attributes (e.g., color, orientation, overall size); build and draw shapes to possess defining attributes."	
Math	1	Geometry	G	(G) Geometry	Reasoning with shapes	1.G.A	(1.G.A) Reasoning with shapes	Reason With Shapes And Their Attributes.	1.G.A.2	"Compose two-dimensional shapes (rectangles, squares, trapezoids, triangles, half-circles, and quarter-circles) or three-dimensional shapes (cubes, right rectangular prisms, right circular cones, and right circular cylinders) to create a composite shape, and compose new shapes from the composite shape.4"	
Math	1	Geometry	G	(G) Geometry	Reasoning with shapes	1.G.A	(1.G.A) Reasoning with shapes	Reason With Shapes And Their Attributes.	1.G.A.3	"Partition circles and rectangles into two and four equal shares, describe the shares using the words halves, fourths, and quarters, and use the phrases half of, fourth of, and quarter of. Describe the whole as two of, or four of the shares. Understand for these examples that decomposing into more equal shares creates smaller shares."	
