subject	grade	domain	domainAbbrev	cluster	standardName	stateStandard		
Math	Grade: K	Counting & Cardinality	CC	Number names and counting	K.CC.A.1	Count to 100 by ones and by tens.		
Math	Grade: K	Counting & Cardinality	CC	Number names and counting	K.CC.A.2	Count forward beginning from a given number within the known sequence (instead of having to begin at 1).		
Math	Grade: K	Counting & Cardinality	CC	Number names and counting	K.CC.A.3	Write numbers from 0 to 20. Represent a number of objects with a written numeral 0-20 (with 0 representing a count of no objects).		
Math	Grade: K	Counting & Cardinality	CC	Counting objects	K.CC.B.4	Understand the relationship between numbers and quantities; connect counting to cardinality.		
Math	Grade: K	Counting & Cardinality	CC	Counting objects	K.CC.B.4.a	"When counting objects, say the number names in the standard order, pairing each object with one and only one number name and each number name with one and only one object."		
Math	Grade: K	Counting & Cardinality	CC	Counting objects	K.CC.B.4.b	Understand that the last number name said tells the number of objects counted. The number of objects is the same regardless of their arrangement or the order in which they were counted.		
Math	Grade: K	Counting & Cardinality	CC	Counting objects	K.CC.B.4.c	Understand that each successive number name refers to a quantity that is one larger.		
Math	Grade: K	Counting & Cardinality	CC	Counting objects	K.CC.B.5	"Count to answer ""how many?"" questions about as many as 20 things arranged in a line, a rectangular array, or a circle, or as many as 10 things in a scattered configuration; given a number from 1äóñ20, count out that many objects."		
Math	Grade: K	Counting & Cardinality	CC	Comparing numbers	K.CC.C.6	"Identify whether the number of objects in one group is greater than, less than, or equal to the number of objects in another group, e.g., by using matching and counting strategies.1"		
Math	Grade: K	Counting & Cardinality	CC	Comparing numbers	K.CC.C.7	Compare two numbers between 1 and 10 presented as written numerals.		
Math	Grade: K	Geometry	G	Identifying shapes	K.G.A.1	"Describe objects in the environment using names of shapes, and describe the relative positions of these objects using terms such as above, below, beside, in front of, behind, and next to."		
Math	Grade: K	Geometry	G	Identifying shapes	K.G.A.2	Correctly name shapes regardless of their orientations or overall size.		
Math	Grade: K	Geometry	G	Identifying shapes	K.G.A.3	"Identify shapes as two-dimensional (lying in a plane, äóìflatäó) or three- dimensional (äóìsolidäó)."		
Math	Grade: K	Geometry	G	Analyzing shapes	K.G.B.4	"Analyze and compare two- and three-dimensional shapes, in different sizes and orientations, using informal language to describe their similarities, differences, parts (e.g., number of sides and vertices/äóìcornersäó) and other attributes (e.g., having sides of equal length)."		
Math	Grade: K	Geometry	G	Analyzing shapes	K.G.B.5	"Model shapes in the world by building shapes from components (e.g., sticks and clay balls) and drawing shapes."		
Math	Grade: K	Geometry	G	Analyzing shapes	K.G.B.6	"Compose simple shapes to form larger shapes. For example, äóìCan you join these two triangles with full sides touching to make a rectangle?äó"		
Math	Grade: K	Measurement & Data	MD	Measurement	K.MD.A.1	"Describe measurable attributes of objects, such as length or weight. Describe several measurable attributes of a single object."		
Math	Grade: K	Measurement & Data	MD	Measurement	K.MD.A.2	"Directly compare two objects with a measurable attribute in common, to see which object has äóìmore ofäó/äóìless ofäó the attribute, and describe the difference. For example, directly compare the heights of two children and describe one child as taller/shorter."		
Math	Grade: K	Measurement & Data	MD	Classifying and counting objects	K.MD.B.3	Classify objects into given categories; count the numbers of objects in each category and sort the categories by count.3		
Math	Grade: K	Number & Operations in Base Ten	NBT	Place value up to 19	K.NBT.A.1	"Compose and decompose numbers from 11 to 19 into ten ones and some further ones, e.g., by using objects or drawings, and record each composition or decomposition by a drawing or equation (e.g., 18 = 10 + 8); understand that these numbers are composed of ten ones and one, two, three, four, five, six, seven, eight, or nine ones."		
Math	Grade: K	Operations & Algebraic Thinking	OA	Addition and subtraction	K.OA.A.1	"Represent addition and subtraction with objects, fingers, mental images, drawings2, sounds (e.g., claps), acting out situations, verbal explanations, expressions, or equations."		
Math	Grade: K	Operations & Algebraic Thinking	OA	Addition and subtraction	K.OA.A.2	"Solve addition and subtraction word problems, and add and subtract within 10, e.g., by using objects or drawings to represent the problem."		
Math	Grade: K	Operations & Algebraic Thinking	OA	Addition and subtraction	K.OA.A.3	"Decompose numbers less than or equal to 10 into pairs in more than one way, e.g., by using objects or drawings, and record each decomposition by a drawing or equation (e.g., 5 = 2 + 3 and 5 = 4 + 1)."		
Math	Grade: K	Operations & Algebraic Thinking	OA	Addition and subtraction	K.OA.A.4	"For any number from 1 to 9, find the number that makes 10 when added to the given number, e.g., by using objects or drawings, and record the answer with a drawing or equation."		
Math	Grade: K	Operations & Algebraic Thinking	OA	Addition and subtraction	K.OA.A.5	Fluently add and subtract within 5.		
Math	Grade: 1	Geometry	G	Reasoning with shapes	1.G.A.1	"Distinguish between defining attributes (e.g., triangles are closed and three-sided) versus non-defining attributes (e.g., color, orientation, overall size); build and draw shapes to possess defining attributes."		
Math	Grade: 1	Geometry	G	Reasoning with shapes	1.G.A.2	"Compose two-dimensional shapes (rectangles, squares, trapezoids, triangles, half-circles, and quarter-circles) or three-dimensional shapes (cubes, right rectangular prisms, right circular cones, and right circular cylinders) to create a composite shape, and compose new shapes from the composite shape.4"		
Math	Grade: 1	Geometry	G	Reasoning with shapes	1.G.A.3	"Partition circles and rectangles into two and four equal shares, describe the shares using the words halves, fourths, and quarters, and use the phrases half of, fourth of, and quarter of. Describe the whole as two of, or four of the shares. Understand for these examples that decomposing into more equal shares creates smaller shares."		
Math	Grade: 1	Measurement & Data	MD	Measuring lengths	1.MD.A.1	Order three objects by length; compare the lengths of two objects indirectly by using a third object.		
Math	Grade: 1	Measurement & Data	MD	Measuring lengths	1.MD.A.2	"Express the length of an object as a whole number of length units, by laying multiple copies of a shorter object (the length unit) end to end; understand that the length measurement of an object is the number of same-size length units that span it with no gaps or overlaps. Limit to contexts where the object being measured is spanned by a whole number of length units with no gaps or overlaps."		
Math	Grade: 1	Measurement & Data	MD	Time	1.MD.B.3	Tell and write time in hours and half-hours using analog and digital clocks.		
Math	Grade: 1	Measurement & Data	MD	Working with data	1.MD.C.4	"Organize, represent, and interpret data with up to three categories; ask and answer questions about the total number of data points, how many in each category, and how many more or less are in one category than in another."		
Math	Grade: 1	Number & Operations in Base Ten	NBT	Counting up to 120	1.NBT.A.1	"Count to 120, starting at any number less than 120. In this range, read and write numerals and represent a number of objects with a written numeral."		
Math	Grade: 1	Number & Operations in Base Ten	NBT	Place value	1.NBT.B.2	Understand that the two digits of a two-digit number represent amounts of tens and ones. Understand the following as special cases:		
Math	Grade: 1	Number & Operations in Base Ten	NBT	Place value	1.NBT.B.2.a	10 can be thought of as a bundle of ten ones äóî called a äóìten.äó b.		
Math	Grade: 1	Number & Operations in Base Ten	NBT	Place value	1.NBT.B.2.b	"The numbers from 11 to 19 are composed of a ten and one, two, three, four, five, six, seven, eight, or nine ones."		
Math	Grade: 1	Number & Operations in Base Ten	NBT	Place value	1.NBT.B.2.c	"The numbers 10, 20, 30, 40, 50, 60, 70, 80, 90 refer to one, two, three, four, five, six, seven, eight, or nine tens (and 0 ones)."		
Math	Grade: 1	Number & Operations in Base Ten	NBT	Place value	1.NBT.B.3	"Compare two two-digit numbers based on meanings of the tens and ones digits, recording the results of comparisons with the symbols >, =, and <."		
Math	Grade: 1	Number & Operations in Base Ten	NBT	Using place value to add and subtract	1.NBT.C.4	"Add within 100, including adding a two-digit number and a one-digit number, and adding a two-digit number and a multiple of 10, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used. Understand that in adding two-digit numbers, one adds tens and tens, ones and ones; and sometimes it is necessary to compose a ten."		
Math	Grade: 1	Number & Operations in Base Ten	NBT	Using place value to add and subtract	1.NBT.C.5	"Given a two-digit number, mentally find 10 more or 10 less than the number, without having to count; explain the reasoning used."		
Math	Grade: 1	Number & Operations in Base Ten	NBT	Using place value to add and subtract	1.NBT.C.6	"Subtract multiples of 10 in the range 10-90 from multiples of 10 in the range 10-90 (positive or zero differences), using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used."		
