type,maker,name,releaseDate,displayInches,ramMBs,rearCameraMpx
Smartphone,Samsung,Galaxy Note 3,9/1/13,5.7,3072,13
Smartphone,HTC,HTC One M8,3/1/14,5,2048,4
Smartphone,Samsung,N7100 Galaxy Note II,9/1/12,5.5,2048,8
Smartphone,LG,Optimus G,10/1/12,4.7,2048,13
Smartphone,LG,Google Nexus 4,11/1/12,4.7,2048,8
Smartphone,Asus,PadFone 2,11/1/12,4.7,2048,13
Smartphone,HTC,"Butterfly
(Droid DNA in the US, J Butterfly in the JP)",12/1/12,5,2048,8
Smartphone,Sony,Xperia Z,2/1/13,5,2048,13.1
Smartphone,Sony,Xperia ZL,3/1/13,5,2048,13.1
Smartphone,HTC,HTC One,3/1/13,4.7,2048,4
Smartphone,Samsung,i9505 Galaxy S4 (with LTE),4/1/13,4.99,2048,13
Smartphone,Sony,Xperia ZR,6/1/13,4.55,2048,13.1
Smartphone,Sony,Xperia Z Ultra,7/1/13,6.4,2048,8
Smartphone,Sony,Xperia Z1,7/1/13,5,2048,20.7
Smartphone,LG,G2,8/1/13,5.2,2048,13
Smartphone,Motorola,Moto X,8/1/13,4.7,2048,10.5
Smartphone,LG,Google Nexus 5,10/1/13,4.95,2048,8
Smartphone,Yota Devices,Yota Phone,12/1/13,4.3,2048,13
Smartphone,Samsung,Galaxy S4 mini,7/1/13,4.3,1536,8
Smartphone,Samsung,Galaxy Mega 6.3,10/23/13,6.3,1536,8
Smartphone,Samsung,Galaxy Mega 5.8,10/23/13,5.8,1536,8
Smartphone,Motorola,"Atrix 4G, MB860",2/22/11,4,1024,5
Smartphone,Samsung,i9100 Galaxy S II,5/1/11,4.27,1024,8
Smartphone,HTC,Evo 3D,8/1/11,4.3,1024,5
Smartphone,Motorola,Droid Bionic,9/8/11,4.3,1024,8
Smartphone,HTC,Amaze 4G,10/1/11,4.3,1024,8
Smartphone,Motorola,"Atrix 2, MB865",10/16/11,4.3,1024,8
Smartphone,Samsung,N7000 Galaxy Note,11/1/11,5.3,1024,8
Smartphone,Samsung,Galaxy Nexus,11/1/11,4.65,1024,5
Smartphone,HTC,Vivid,11/1/11,4.5,1024,8
Smartphone,HTC,Rezound,11/1/11,4.3,1024,8
Smartphone,Motorola,Droid RAZR (XT910),11/11/11,4.3,1024,8
Smartphone,LG,Optimus LTE,1/1/12,4.5,1024,8
Smartphone,LG,Prada 3.0,1/1/12,4.3,1024,8
Smartphone,Sony,Xperia S,2/1/12,4.3,1024,1
Smartphone,Motorola,Droid 4[21],2/12/12,4,1024,8
Smartphone,HTC,One X,4/1/12,4.7,1024,8
Smartphone,HTC,One XL,4/1/12,4.7,1024,8
Smartphone,Asus,PadFone,4/1/12,4.3,1024,8
Smartphone,HTC,One S,4/1/12,4.3,1024,8
Smartphone,Panasonic,Eluga,4/1/12,4.3,1024,8
Smartphone,Panasonic,Eluga Power,5/1/12,5,1024,8
Smartphone,Samsung,"i9300 Galaxy S III 
*i9305 Galaxy S III*
*(with LTE)*",5/1/12,4.8,1024,8
Smartphone,HTC,Evo 4G LTE,5/1/12,4.7,1024,8
Smartphone,Motorola,Droid RAZR MAXX,5/1/12,4.3,1024,8
Smartphone,Sony,Xperia P,5/1/12,4,1024,8
Smartphone,LG,Optimus 4X HD,6/1/12,4.7,1024,8
Smartphone,Sony,Xperia ion LTE,6/1/12,4.6,1024,12
Smartphone,Motorola,"Atrix HD, MB886",7/15/12,4.5,1024,8
Smartphone,Sony,Xperia acro S,8/1/12,4.3,1024,12
Smartphone,LG,Optimus Vu,9/1/12,5,1024,8
Smartphone,Sony,Xperia T,9/1/12,4.6,1024,13
Smartphone,Sony,Xperia SL,9/1/12,4.3,1024,12
Smartphone,Sony,Xperia V,9/1/12,4.3,1024,13
Smartphone,LG,Optimus L9,10/1/12,4.7,1024,5
Smartphone,HTC,One X+,10/1/12,4.7,1024,8
Smartphone,Motorola,Droid RAZR HD,10/1/12,4.7,1024,8
Smartphone,Motorola,Droid RAZR I,10/1/12,4.3,1024,8
Smartphone,Samsung,Galaxy Premier,11/1/12,4.65,1024,8
Smartphone,Samsung,Galaxy Express,11/1/12,4.5,1024,5
Smartphone,Samsung,Galaxy S III mini,11/1/12,4,1024,5
Smartphone,Sony,Xperia SP,4/1/13,4.6,1024,8
Smartphone,Sony,Xperia L,4/1/13,4.3,1024,8
Smartphone,HTC,HTC One Mini,8/1/13,4.3,1024,4
Smartphone,Sony,Xperia M,8/1/13,4,1024,5
Smartphone,HTC,Desire HD (Inspire 4G in the US),10/1/10,4.3,768,8
Smartphone,HTC,Incredible S,2/1/11,4,768,8
Smartphone,HTC,Desire S,4/1/11,3.7,768,5
Smartphone,HTC,Sensation,5/1/11,4.3,768,8
Smartphone,HTC,Sensation XL,10/1/11,4.7,768,8
Smartphone,HTC,Sensation XE,10/1/11,4.3,768,8
Smartphone,HTC,Desire X,4/1/12,4,768,5
Smartphone,Samsung,i9070 Galaxy S Advance,4/1/12,4,768,5
Smartphone,Samsung,Galaxy Ace 2,5/1/12,3.8,768,5
Smartphone,Samsung,"S7562 Galaxy S Duos
(Dual-SIM Card)",9/1/12,4,768,5
Smartphone,HTC,Desire,3/1/10,3.7,576,5
Smartphone,HTC,Nexus One,1/1/10,3.7,512,5
Smartphone,Acer,Liquid E,2/1/10,3.5,512,5
Smartphone,LG,"VS740 (US740),
Ally,
Aloha",5/20/10,3.2,512,3
Smartphone,Acer,Liquid E Ferrari,6/1/10,3.5,512,5
Smartphone,LG,LU2300 Optimus Q,6/5/10,3.5,512,5
Smartphone,Motorola,"Droid X, Motoroi X, Milestone X",7/15/10,4.3,512,8
Smartphone,Acer,Acer Stream S110,8/1/10,3.7,512,5
Smartphone,Motorola,"Droid 2,
Milestone 2,[10] Droid 2 Global",8/12/10,3.7,512,5
Smartphone,Motorola,Motorola Defy,9/1/10,3.7,512,5
Smartphone,Acer,Liquid Metal,10/1/10,3.6,512,5
Smartphone,Cherry Mobile,Magnum HD,10/11/10,4.1,512,5
